,name,lat,lon,id,operator,public_transport,railway,source,alt_name,network,station,subway,wheelchair,wikidata,wikipedia,addr:city,addr:housenumber,addr:street,light_rail,train,addr:country,addr:province,phone,website,railway:ref,addr:postcode,iata,internet_access,internet_access:fee,name:en,ref:amtrak,ref:via_rail,network:wikidata,name:es,name:fr,short_name,start_date,network:en,network:fr,operator:short,operator:wikidata,toilets:wheelchair,note,name:ko,elevator,platforms,defibrillator:location,check_date:wheelchair,air_conditioning,level,construction,opening_date
77,Champ-de-Mars,45.5101439,-73.556487,7052605741,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1061011,en:Champ-de-Mars station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
78,Sherbrooke,45.5187201,-73.5680527,7052605742,Société de transport de Montréal,station,station,,,,subway,yes,no,Q932594,en:Sherbrooke station,,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
79,Mont-Royal,45.5245985,-73.5816468,7052605743,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1632640,en:Mont-Royal station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
80,Laurier,45.5280804,-73.5883784,7052605744,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1632291,en:Laurier station (Montreal Metro),,,,,yes,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
81,Rosemont,45.5314962,-73.5973383,7052605745,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1633672,en:Rosemont station (Montreal Metro),,,,,yes,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,yes,2,,,,,,
82,Beaubien,45.5351198,-73.6046246,7052605746,Société de transport de Montréal,station,station,,,,subway,yes,,Q813338,en:Beaubien station,,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
83,Jarry,45.5432233,-73.6286029,7052605747,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1634277,en:Jarry station,,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
84,Crémazie,45.5461436,-73.6388375,7052605748,Société de transport de Montréal,station,station,,,,subway,yes,,Q1142496,en:Crémazie station,,,,,yes,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
85,Sauvé,45.5511003,-73.6565058,7052605749,Société de transport de Montréal,station,station,,,,subway,yes,,Q1634285,en:Sauvé station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Henri-Bourassa,45.5545124,-73.6682516,7052605750,Société de transport de Montréal,station,station,,,,subway,yes,limited,Q1605659,en:Henri-Bourassa station,,,,,,,,,,,,,,,,,,,,,,1966-10-14,,,,,,,,,,,,,,,
87,De la Concorde,45.560853,-73.7097434,7052605751,Société de transport de Montréal,station,station,,,,subway,yes,limited,Q1180063,en:De La Concorde station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Radisson,45.5896475,-73.5397875,7052949183,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1827231,en:Radisson station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Langelier,45.5827257,-73.5431577,7052949184,Société de transport de Montréal,station,station,,,,subway,yes,,Q1705135,en:Langelier station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Assomption,45.5693911,-73.5467318,7052992085,Société de transport de Montréal,station,station,,,STM,subway,yes,no,Q538758,en:Assomption station,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,
91,Pie IX,45.5541959,-73.5515329,7052992086,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1892913,en:Pie-IX station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Joliette,45.5469325,-73.5510099,7052992087,Société de transport de Montréal,station,station,,,Métro de Montréal,subway,yes,no,Q1249429,en:Joliette station (Montreal Metro),,,,,,,,,,,,,,,,,,Q392377,,,,,Montreal Metro,Métro de Montréal,STM,Q1817151,,,,,,Après le portique de paiement,,,,,
93,Frontenac,45.5331536,-73.5522155,7052992088,Société de transport de Montréal,station,station,,,,subway,yes,no,Q183022,en:Frontenac station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-06,,,,
94,Papineau,45.5237396,-73.5521686,7052992089,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1892925,en:Papineau station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Beaudry,45.5195498,-73.5571716,7052992090,Société de transport de Montréal,station,station,,,,subway,yes,no,Q813363,en:Beaudry station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Saint-Laurent,45.5108831,-73.5648092,7052992091,Société de transport de Montréal,station,station,,,Métro de Montréal,subway,yes,no,Q1705000,en:Saint-Laurent station,,,,,,,,,,,,,,,,,,Q392377,,,,,Montreal Metro,Métro de Montréal,STM,Q1817151,,,,,,,,,,,
97,Place-des-Arts,45.5080307,-73.5683162,7052992092,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1889985,en:Place-des-Arts station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Peel,45.5006095,-73.5750881,7052992094,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1616425,en:Peel station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Guy-Concordia,45.4953736,-73.5798383,7052992095,Société de transport de Montréal,station,station,,,,subway,yes,no,Q183268,en:Guy-Concordia station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Atwater,45.4897865,-73.5863426,7052992096,Société de transport de Montréal,station,station,,,,subway,yes,no,Q138609,fr:Atwater (métro de Montréal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,LaSalle,45.4708146,-73.5661308,7052992097,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1798572,en:LaSalle station (Montreal Metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Verdun,45.4592869,-73.5720103,7052992098,Société de transport de Montréal,station,station,,,,subway,yes,no,Q586219,en:Verdun station,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
103,Jolicoeur,45.45686,-73.5819981,7052992099,Société de transport de Montréal,station,station,,,,subway,yes,no,Q1702643,en:Jolicoeur station,Montréal,6200,Rue Drake,,,,QC,,,,H4E 4J6,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Angrignon,45.4461825,-73.6036506,7052992100,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q543509,en:Angrignon station,Montréal,3500,Boulevard des Trinitaires,,,,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Lionel-Groulx,45.4827728,-73.5798271,7164242333,Société de transport de Montréal,station,station,,,,subway,yes,yes,Q1704947,fr:Lionel-Groulx (métro de Montréal),,,,,,,,,,,,,,,,,,,,Lionel-Groulx,,1978-09-03,,,,,,,,,,,,,,,
106,Île-Perrot,45.3961336,-73.9651703,7192352946,Exo,station,station,,,exo,,,,Q3098276,fr:Gare Île-Perrot,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Anse-à-l'Orme,45.4315922,-73.9099082,7350710743,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Des-Sources,45.4771212,-73.7910578,7350710745,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Marie-Curie,45.4800508,-73.7602942,7350710746,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,YUL-Aéroport-Montréal-Trudeau,45.4571284,-73.7496191,7350710747,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,2023,,,,,,,,,,,,yes,-1,,
111,Fairview-Pointe-Claire,45.459942,-73.8353373,7350710748,,station,station,,,REM,light_rail,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_station,
112,Côte-de-Liesse,45.5218291,-73.661868,7350710749,,station,station,,,REM,light_rail,yes,,,,,,,yes,,,,,,,,,,,,,,Q19582331,,,,,,,,,,,,,,,,,,yes,2025
